food_code,food_name,meal_type,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg,unit_serving_carotenoids_ug
ASC299,Moong dal halwa,veg,asc_manual,1461.34,349.80,40.23,8.35,17.68,25.59,2.65,10384.38,4714.05,972.72,34.81,110.40,172.44,46.78,11.19,386.87,1.51,0.28,18.24,0.02,0.44,0.14,1.05,130.49,1.04,1.02,0.00,1.91,0.00,36.19,0.11,0.05,0.54,0.45,0.06,3.42,36.19,0.03,442.28,bowl,1393.98,333.68,38.37,7.97,16.86,24.41,2.53,9905.66,4496.73,927.87,33.21,105.31,164.49,44.62,10.67,369.03,1.44,0.26,17.40,0.02,0.42,0.13,1.00,124.47,0.99,0.98,0.00,1.82,0.00,34.53,0.10,0.04,0.51,0.43,0.06,3.26,34.53,0.03,421.89
ASC461,Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),veg,asc_manual,3124.11,758.89,7.63,2.08,80.04,0.25,1.39,9621.65,16406.54,50664.04,0.00,12.13,21.83,13.08,74.88,87.35,0.67,0.07,1.10,0.00,0.31,0.00,0.26,0.00,39.49,0.57,0.00,32.63,0.00,23.14,0.06,0.02,0.21,0.13,0.04,0.79,23.14,2.53,828.15,cheela,4701.78,1142.14,11.49,3.12,120.46,0.38,2.10,14480.59,24691.85,76249.39,0.00,18.26,32.85,19.69,112.70,131.46,1.01,0.10,1.65,0.00,0.46,0.01,0.39,0.00,59.44,0.85,0.00,49.11,0.00,34.83,0.08,0.03,0.31,0.20,0.07,1.19,34.83,3.80,1246.36
ASC462,Rice moong dal cheela (Chawal aur moong dal ka cheela),veg,asc_manual,3286.07,798.26,11.13,2.74,82.44,0.15,1.18,9918.20,16894.23,52194.70,0.00,4.99,48.20,16.10,142.82,124.58,0.51,0.12,4.40,0.00,0.15,0.04,0.31,0.00,40.55,0.18,0.00,6.21,0.00,8.78,0.05,0.02,0.39,0.19,0.04,0.08,8.78,0.00,87.62,cheela,4789.45,1163.47,16.22,3.99,120.15,0.22,1.73,14455.78,24623.34,76073.77,0.00,7.28,70.25,23.47,208.16,181.57,0.75,0.17,6.42,0.00,0.23,0.05,0.46,0.00,59.10,0.26,0.00,9.05,0.00,12.80,0.07,0.02,0.57,0.28,0.06,0.12,12.80,0.00,127.71
ASC463,Split bengal gram sweet rice (Channa dal sweet rice),veg,asc_manual,795.86,190.21,41.07,4.15,0.64,19.41,2.23,92.46,104.26,281.70,0.00,30.37,78.30,42.94,8.38,230.18,1.77,0.15,4.90,0.00,0.50,0.05,0.68,0.00,0.05,0.27,0.00,0.48,0.00,22.03,0.08,0.03,0.75,0.32,0.23,0.28,22.03,0.00,107.41,plate,1750.90,418.47,90.36,9.14,1.42,42.70,4.90,203.42,229.37,619.75,0.00,66.82,172.26,94.46,18.44,506.40,3.89,0.33,10.79,0.01,1.09,0.10,1.50,0.00,0.10,0.58,0.00,1.05,0.00,48.48,0.17,0.06,1.64,0.71,0.50,0.61,48.48,0.00,236.30
ASC468,Sprouted moong daliya,veg,asc_manual,463.89,111.56,14.77,2.81,4.71,1.67,3.12,553.94,927.68,2808.59,0.00,22.62,19.00,9.46,196.73,83.92,1.29,0.04,0.10,0.00,0.10,0.01,0.16,0.00,2.15,0.37,0.00,4.35,0.00,11.15,0.03,0.01,0.15,0.13,0.05,0.65,11.15,2.38,1506.83,plate,1465.90,352.54,46.68,8.86,14.88,5.27,9.87,1750.45,2931.48,8875.13,0.00,71.49,60.03,29.90,621.66,265.20,4.09,0.11,0.33,0.00,0.33,0.02,0.49,0.00,6.79,1.17,0.00,13.74,0.00,35.24,0.09,0.05,0.46,0.42,0.14,2.07,35.24,7.53,4761.58
ASC469,Sprouted moong poha,veg,asc_manual,804.44,192.60,26.60,5.59,6.89,1.93,3.13,1241.23,2546.10,2828.32,0.00,28.39,116.24,55.63,220.82,268.06,2.43,0.21,1.01,0.02,0.54,0.14,0.93,0.00,1.55,2.33,0.00,8.10,0.00,24.46,0.13,0.04,1.95,0.41,0.10,0.97,24.46,10.05,517.28,plate,1539.13,368.51,50.90,10.70,13.17,3.68,5.99,2374.84,4871.45,5411.43,0.00,54.32,222.40,106.43,422.50,512.89,4.64,0.41,1.93,0.03,1.04,0.26,1.78,0.00,2.96,4.46,0.00,15.49,0.00,46.81,0.25,0.08,3.74,0.78,0.18,1.86,46.81,19.24,989.71
BFP007,Kashmiri tea (Kehwa),veg,bfp_manual,105.73,24.90,5.23,0.17,0.51,5.14,0.16,38.56,330.29,114.39,0.00,3.19,4.13,3.47,0.29,8.81,0.07,0.02,0.05,0.00,0.10,0.01,0.04,0.00,0.22,0.10,0.00,0.09,0.00,0.32,0.00,0.00,0.03,0.01,0.00,0.03,0.32,0.02,0.81,tea cup,271.41,63.93,13.43,0.45,1.30,13.20,0.40,99.00,847.85,293.65,0.00,8.19,10.61,8.90,0.75,22.61,0.17,0.04,0.14,0.00,0.25,0.02,0.11,0.00,0.57,0.25,0.00,0.22,0.00,0.82,0.00,0.01,0.09,0.02,0.00,0.08,0.82,0.06,2.08
BFP008,Steeped hot coffee,veg,bfp_manual,67.40,15.91,3.01,0.39,0.33,2.96,0.00,201.01,90.15,10.25,0.00,10.40,10.26,3.93,2.82,46.09,0.06,0.01,0.16,0.00,0.02,0.00,0.04,0.00,0.02,0.00,0.00,0.04,0.00,0.63,0.00,0.01,0.25,0.03,0.00,0.81,0.63,0.15,14.85,tea cup,136.15,32.13,6.08,0.78,0.67,5.98,0.00,406.05,182.10,20.70,0.00,21.00,20.73,7.94,5.69,93.10,0.12,0.02,0.32,0.00,0.04,0.00,0.08,0.00,0.03,0.00,0.00,0.09,0.00,1.27,0.01,0.02,0.51,0.05,0.01,1.64,1.27,0.30,30.00
BFP024,Jal jeera,veg,bfp_manual,127.66,30.24,6.70,0.44,0.26,5.71,0.95,22.96,107.02,77.33,0.00,24.72,11.30,12.89,215.62,76.31,0.84,0.05,0.40,0.01,0.34,0.02,0.11,0.00,0.04,1.33,0.00,5.79,0.00,3.20,0.02,0.01,0.13,0.02,0.02,0.11,3.20,1.59,411.22,juice glass,178.75,42.34,9.38,0.61,0.36,8.00,1.33,32.15,149.85,108.27,0.00,34.61,15.82,18.05,301.91,106.85,1.17,0.07,0.56,0.01,0.47,0.03,0.16,0.00,0.05,1.87,0.00,8.10,0.00,4.47,0.03,0.01,0.18,0.03,0.02,0.15,4.47,2.23,575.79
BFP026,Gingo,veg,bfp_manual,204.12,48.02,12.42,0.14,0.06,12.08,0.17,14.97,3.30,28.73,0.00,6.33,2.31,3.35,21.50,20.82,0.21,0.02,0.22,0.00,0.06,0.01,0.03,0.00,0.02,0.12,0.00,3.69,0.00,2.92,0.00,0.00,0.02,0.02,0.01,0.15,2.92,2.88,392.68,tall glass,594.00,139.73,36.14,0.40,0.17,35.15,0.49,43.58,9.60,83.60,0.00,18.42,6.73,9.75,62.57,60.59,0.62,0.06,0.65,0.00,0.16,0.02,0.09,0.00,0.04,0.36,0.00,10.75,0.00,8.49,0.01,0.01,0.07,0.04,0.02,0.45,8.49,8.39,1142.70
BFP027,Mintade,veg,bfp_manual,171.36,40.32,10.59,0.03,0.02,10.47,0.03,6.30,1.31,11.27,0.00,2.10,0.64,0.85,26.69,6.00,0.05,0.01,0.05,0.00,0.01,0.00,0.01,0.00,0.00,0.03,0.00,0.77,0.00,0.82,0.00,0.00,0.01,0.01,0.00,0.06,0.82,1.49,84.27,glass,976.78,229.84,60.39,0.19,0.13,59.68,0.15,35.92,7.44,64.25,0.00,11.95,3.66,4.84,152.15,34.18,0.30,0.05,0.29,0.00,0.03,0.01,0.06,0.00,0.02,0.14,0.00,4.37,0.00,4.69,0.01,0.01,0.04,0.03,0.01,0.34,4.69,8.50,480.32
BFP029,Canjee,veg,bfp_manual,27.67,6.61,0.44,0.24,0.42,0.21,0.36,26.17,208.49,104.17,0.00,5.82,9.26,3.57,43.03,21.20,0.17,0.01,0.71,0.00,0.05,0.00,0.05,0.00,0.02,0.38,0.00,1.03,0.00,2.12,0.01,0.01,0.05,0.02,0.01,0.09,2.12,0.30,474.30,glass,47.12,11.26,0.74,0.42,0.72,0.36,0.61,44.56,354.96,177.34,0.00,9.92,15.76,6.08,73.26,36.09,0.29,0.02,1.21,0.00,0.09,0.00,0.09,0.00,0.04,0.64,0.00,1.75,0.00,3.61,0.01,0.01,0.09,0.03,0.01,0.15,3.61,0.52,807.49
BFP044,Poha,veg,bfp_manual,1226.35,294.53,35.05,6.09,14.14,0.87,3.72,2035.87,4117.09,7340.79,0.00,37.67,139.76,66.85,377.10,333.98,3.01,0.24,2.31,0.02,0.69,0.25,1.07,0.00,5.03,3.73,0.00,13.15,0.00,21.91,0.14,0.04,2.09,0.42,0.09,0.83,21.91,12.13,842.44,bowl,669.46,160.78,19.13,3.32,7.72,0.48,2.03,1111.38,2247.52,4007.34,0.00,20.56,76.30,36.49,205.86,182.32,1.65,0.13,1.26,0.01,0.38,0.14,0.58,0.00,2.75,2.04,0.00,7.18,0.00,11.96,0.07,0.02,1.14,0.23,0.05,0.45,11.96,6.62,459.89
BFP045,Vegetable poha,veg,bfp_manual,751.96,180.52,21.52,4.89,8.07,1.40,3.76,1165.72,2322.69,4183.58,0.00,28.01,96.29,48.59,418.02,223.09,1.92,0.19,2.28,0.01,0.54,0.16,0.81,0.00,2.85,4.13,0.00,15.45,0.00,22.28,0.11,0.05,1.35,0.37,0.09,1.02,22.28,7.37,2675.12,bowl,735.64,176.60,21.05,4.78,7.89,1.37,3.68,1140.42,2272.29,4092.79,0.00,27.40,94.20,47.53,408.95,218.24,1.88,0.19,2.23,0.01,0.53,0.15,0.79,0.00,2.79,4.04,0.00,15.11,0.00,21.79,0.11,0.05,1.32,0.36,0.08,1.00,21.79,7.21,2617.07
BFP046,Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),veg,bfp_manual,645.18,154.89,19.42,6.97,5.11,1.11,4.25,654.27,1003.81,3074.91,0.00,39.34,129.16,61.10,267.23,574.12,2.22,0.31,12.14,0.01,0.55,0.14,0.86,0.00,2.34,2.49,0.00,20.82,0.00,35.17,0.12,0.04,0.92,0.63,0.13,1.11,35.17,15.31,1103.75,cheela,1466.70,352.10,44.16,15.85,11.63,2.52,9.66,1487.35,2281.97,6990.19,0.00,89.44,293.63,138.91,607.50,1305.16,5.05,0.69,27.59,0.01,1.25,0.33,1.96,0.00,5.32,5.66,0.00,47.33,0.00,79.95,0.28,0.10,2.09,1.44,0.28,2.51,79.95,34.81,2509.15
BFP047,Paneer stuffed cheela/chilla,veg,bfp_manual,855.46,205.19,19.16,11.44,8.89,3.81,4.03,2771.41,2083.07,3356.02,0.00,151.30,202.71,64.32,289.10,464.03,2.41,0.32,18.21,0.03,0.58,0.15,1.48,0.00,2.49,2.64,0.00,21.64,0.00,54.88,0.12,0.07,0.70,0.68,0.11,5.73,54.88,9.31,1163.73,cheela,1816.40,435.68,40.68,24.28,18.87,8.10,8.55,5884.54,4422.98,7125.84,0.00,321.25,430.41,136.57,613.84,985.27,5.13,0.69,38.67,0.07,1.22,0.33,3.14,0.00,5.29,5.60,0.00,45.95,0.00,116.52,0.25,0.14,1.48,1.43,0.24,12.16,116.52,19.76,2470.95
BFP144,Plain khitchdi (Plain khichri/khichdi),veg,bfp_manual,238.08,57.03,10.04,1.72,1.01,0.12,0.85,538.13,250.79,96.34,2.14,5.05,30.71,9.97,37.14,69.32,0.31,0.07,1.88,0.00,0.16,0.04,0.22,8.03,0.07,0.14,0.00,1.92,0.00,4.56,0.03,0.01,0.34,0.12,0.03,0.08,4.56,0.14,102.54,small bowl,1366.57,327.36,57.64,9.86,5.78,0.69,4.87,3088.85,1439.56,553.01,12.30,28.96,176.26,57.22,213.21,397.88,1.75,0.39,10.79,0.01,0.94,0.25,1.24,46.10,0.43,0.81,0.00,11.04,0.00,26.18,0.18,0.07,1.97,0.70,0.19,0.46,26.18,0.83,588.55
BFP147,Instant idli (with semolina),veg,bfp_manual,1034.13,247.29,43.40,9.16,3.61,3.35,7.13,875.88,777.03,1580.84,3.12,93.20,136.84,42.92,1504.66,348.78,2.31,0.31,8.54,0.01,1.25,0.13,1.56,7.94,1.14,7.99,0.00,15.03,0.00,25.74,0.21,0.13,0.99,0.65,0.12,1.08,25.74,0.40,3788.41,idli,364.81,87.23,15.31,3.23,1.27,1.18,2.51,308.98,274.11,557.67,1.10,32.88,48.27,15.14,530.79,123.04,0.81,0.11,3.01,0.00,0.44,0.05,0.55,2.80,0.40,2.82,0.00,5.30,0.00,9.08,0.07,0.05,0.35,0.23,0.04,0.38,9.08,0.14,1336.42
BFP148,Plain dosa,veg,bfp_manual,1588.71,380.91,64.08,10.34,8.43,0.70,5.23,5030.31,2054.45,578.76,19.90,19.35,178.40,55.44,142.98,344.39,1.50,0.32,5.84,0.01,0.86,0.18,1.39,89.50,0.27,1.75,0.00,3.46,0.00,25.35,0.16,0.07,2.11,1.00,0.20,0.41,25.35,0.00,151.37,dosa,573.92,137.60,23.15,3.73,3.05,0.25,1.89,1817.20,742.17,209.08,7.19,6.99,64.45,20.03,51.65,124.41,0.54,0.12,2.11,0.00,0.31,0.07,0.50,32.33,0.10,0.63,0.00,1.25,0.00,9.16,0.06,0.02,0.76,0.36,0.07,0.15,9.16,0.00,54.68
BFP212,Roast chicken,veg,bfp_manual,833.38,199.90,0.10,20.49,13.06,0.05,0.03,3695.47,2105.25,505.76,69.66,13.61,168.30,19.34,71.71,280.00,0.79,0.26,17.41,0.00,0.03,0.01,0.74,60.39,0.38,0.03,1.29,0.58,26.05,9.86,0.09,0.06,7.56,1.08,0.50,3.88,9.86,0.23,36.67,joint,1111.52,266.62,0.13,27.32,17.42,0.06,0.04,4928.83,2807.88,674.55,92.91,18.15,224.47,25.80,95.64,373.45,1.05,0.34,23.22,0.00,0.03,0.01,0.98,80.55,0.50,0.03,1.73,0.78,34.75,13.16,0.13,0.08,10.08,1.44,0.66,5.17,13.16,0.30,48.91
BFP223,Bengal fish curry (Bengali machli curry),veg,bfp_manual,458.08,109.43,4.42,7.26,7.03,2.39,1.93,1572.69,3341.41,1449.01,13.92,44.44,95.07,27.62,76.38,207.98,0.85,0.08,9.85,0.01,0.87,0.05,0.44,11.12,0.46,1.18,0.20,7.87,0.32,14.96,0.04,0.03,0.66,0.50,0.09,1.10,14.96,3.02,361.12,bowl,1422.20,339.76,13.72,22.55,21.82,7.41,5.98,4882.74,10374.07,4498.75,43.21,137.97,295.17,85.75,237.14,645.72,2.63,0.26,30.59,0.02,2.70,0.14,1.36,34.51,1.43,3.66,0.61,24.44,0.99,46.45,0.14,0.11,2.05,1.56,0.29,3.41,46.45,9.39,1121.17
BFP239,Potato curry (Aloo ki sabzi),veg,bfp_manual,372.12,89.56,10.42,1.52,4.47,1.58,2.42,548.66,961.12,2684.73,0.00,23.74,38.19,25.30,78.40,383.45,0.97,0.10,0.51,0.00,0.28,0.05,0.31,0.00,2.08,3.37,0.00,12.09,0.00,17.65,0.05,0.02,0.76,0.31,0.10,1.43,17.65,20.92,1767.43,bowl,750.08,180.52,21.00,3.06,9.01,3.19,4.88,1105.93,1937.33,5411.60,0.00,47.84,76.98,50.99,158.02,772.92,1.96,0.20,1.04,0.01,0.56,0.10,0.62,0.00,4.19,6.80,0.00,24.37,0.00,35.58,0.11,0.04,1.54,0.62,0.21,2.88,35.58,42.18,3562.60
BFP240,Egg curry (Anda curry),egg,bfp_manual,488.28,117.52,4.03,5.38,8.81,1.90,2.09,1676.70,2417.37,3865.28,120.74,41.59,83.17,21.72,142.12,198.53,1.52,0.10,13.53,0.00,0.29,0.07,0.63,65.32,3.22,4.36,0.28,14.68,4.82,29.51,0.05,0.08,0.37,0.64,0.12,7.03,29.51,12.55,2257.77,bowl,740.08,178.13,6.11,8.16,13.35,2.87,3.17,2541.37,3664.01,5858.60,183.00,63.04,126.06,32.92,215.41,300.92,2.30,0.15,20.51,0.01,0.43,0.10,0.96,99.00,4.88,6.61,0.42,22.25,7.30,44.73,0.08,0.13,0.56,0.97,0.19,10.65,44.73,19.03,3422.10
BFP269,Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),veg,bfp_manual,457.73,110.81,4.50,1.83,9.27,1.42,3.57,1153.17,1883.92,5827.37,0.00,67.88,49.02,52.60,92.78,233.03,0.88,0.12,0.81,0.00,0.29,0.04,0.41,0.00,4.82,5.57,0.00,17.16,0.00,51.27,0.04,0.05,0.53,0.26,0.22,1.62,51.27,17.48,927.88,bowl,761.38,184.32,7.49,3.04,15.43,2.37,5.94,1918.19,3133.72,9693.24,0.00,112.92,81.54,87.50,154.32,387.63,1.47,0.20,1.35,0.01,0.48,0.06,0.68,0.00,8.02,9.27,0.00,28.54,0.00,85.27,0.06,0.09,0.87,0.43,0.36,2.69,85.27,29.07,1543.43
BFP270,Crispy okra/Crispy lady's fingers (Karare bhindi),veg,bfp_manual,2707.49,657.76,4.35,1.91,70.40,0.26,1.75,8460.50,14440.07,44532.29,0.00,27.61,27.93,20.56,40.42,90.14,0.56,0.06,0.48,0.00,0.18,0.01,0.21,0.00,34.73,1.76,0.00,10.35,0.00,26.27,0.04,0.03,0.29,0.14,0.09,0.86,26.27,5.29,332.23,small bowl,9279.93,2254.47,14.90,6.55,241.28,0.89,6.01,28998.37,49493.35,152634.44,0.00,94.64,95.72,70.45,138.53,308.94,1.91,0.20,1.64,0.00,0.62,0.03,0.73,0.00,119.05,6.03,0.00,35.47,0.00,90.04,0.13,0.10,0.98,0.48,0.32,2.95,90.04,18.14,1138.73
BFP274,Jackfruit/Kathal (dry),veg,bfp_manual,2012.05,488.97,4.56,0.93,51.78,3.55,1.33,6230.40,10621.65,32777.55,0.00,12.79,11.06,11.71,33.68,106.26,0.33,0.07,0.03,0.00,0.17,0.02,0.09,0.00,25.50,2.74,0.00,15.88,0.00,11.45,0.02,0.01,0.19,0.08,0.07,1.26,11.45,4.49,470.96,bowl,9726.65,2363.80,22.07,4.49,250.33,17.16,6.42,30119.01,51347.19,158453.20,0.00,61.81,53.45,56.60,162.84,513.66,1.61,0.33,0.15,0.01,0.82,0.07,0.45,0.00,123.26,13.25,0.00,76.76,0.00,55.34,0.10,0.04,0.91,0.39,0.36,6.10,55.34,21.72,2276.69
BFP279,Broccoli delight,veg,bfp_manual,172.18,40.70,2.34,2.49,2.48,1.08,2.83,339.45,1244.07,642.19,0.00,26.99,48.00,17.10,59.26,257.82,0.71,0.06,0.97,0.00,0.18,0.00,0.40,0.00,0.89,0.61,0.00,99.73,0.00,48.94,0.09,0.08,0.59,0.32,0.08,2.08,48.94,39.60,2865.20,bowl,343.50,81.19,4.67,4.97,4.96,2.15,5.64,677.20,2481.93,1281.18,0.00,53.84,95.75,34.11,118.22,514.35,1.42,0.13,1.94,0.01,0.36,0.01,0.79,0.00,1.77,1.22,0.00,198.96,0.00,97.64,0.17,0.16,1.18,0.64,0.16,4.15,97.64,79.00,5716.08
BFP280,Dhansak (vegetarian),veg,bfp_manual,344.57,82.80,7.28,3.32,4.18,0.91,4.17,938.35,759.43,2048.04,0.00,26.40,57.86,28.30,34.18,264.50,1.26,0.18,3.62,0.00,0.33,0.19,0.50,0.00,1.56,1.61,0.00,19.64,0.00,18.72,0.06,0.04,0.47,0.23,0.08,0.76,18.72,5.50,1923.66,bowl,830.46,199.57,17.54,8.01,10.07,2.18,10.05,2261.56,1830.35,4936.08,0.00,63.64,139.46,68.20,82.38,637.49,3.05,0.44,8.72,0.01,0.81,0.45,1.21,0.00,3.75,3.89,0.00,47.35,0.00,45.12,0.15,0.09,1.13,0.55,0.20,1.82,45.12,13.25,4636.30
BFP282,Cauliflower basket,veg,bfp_manual,378.52,90.95,3.97,5.21,5.88,1.47,2.40,3279.82,1617.38,424.12,51.10,100.19,143.16,20.59,194.22,258.16,0.92,0.05,5.12,0.01,0.17,0.01,0.65,68.29,0.29,0.99,0.09,10.46,1.51,36.64,0.04,0.11,0.24,0.66,0.11,4.28,36.64,29.63,156.53,portion,913.99,219.61,9.59,12.57,14.20,3.54,5.79,7919.63,3905.40,1024.09,123.40,241.92,345.69,49.72,468.97,623.37,2.22,0.12,12.37,0.01,0.41,0.03,1.58,164.90,0.71,2.38,0.21,25.27,3.65,88.46,0.11,0.26,0.59,1.59,0.27,10.34,88.46,71.55,377.97
BFP284,Stuffed bottle gourd (Stuffed ghiya/lauki),veg,bfp_manual,388.48,93.19,4.36,5.84,5.80,1.52,1.18,3076.25,1840.20,316.31,45.61,71.83,115.29,13.73,106.99,149.44,0.66,0.05,4.49,0.00,0.10,0.00,0.91,47.15,0.23,0.47,0.06,2.21,1.03,26.17,0.05,0.07,0.83,0.57,0.07,3.41,26.17,2.54,130.86,portion,1379.10,330.81,15.48,20.72,20.60,5.40,4.19,10920.67,6532.72,1122.91,161.90,255.00,409.28,48.73,379.80,530.51,2.33,0.19,15.93,0.01,0.37,0.01,3.23,167.40,0.82,1.66,0.21,7.84,3.65,92.91,0.18,0.26,2.94,2.03,0.24,12.11,92.91,9.01,464.55
BFP287,Roast potatoes ,veg,bfp_manual,363.95,87.32,14.52,1.53,2.35,0.33,1.71,1391.15,555.20,200.14,5.51,10.38,42.96,23.89,90.67,528.24,0.57,0.09,0.75,0.00,0.15,0.02,0.28,24.79,0.11,0.23,0.00,2.53,0.00,15.08,0.06,0.01,1.01,0.37,0.10,1.32,15.08,22.46,221.14,potato,281.32,67.49,11.22,1.18,1.82,0.25,1.32,1075.29,429.14,154.69,4.26,8.02,33.21,18.47,70.08,408.30,0.44,0.07,0.58,0.00,0.11,0.01,0.21,19.16,0.08,0.17,0.00,1.95,0.00,11.66,0.05,0.01,0.78,0.29,0.08,1.02,11.66,17.36,170.93
BFP291,Creamed spinach and mushroom,veg,bfp_manual,1727.58,419.62,3.17,2.28,44.14,1.17,1.02,6817.79,9201.70,26166.05,7.15,65.49,64.23,27.09,90.21,217.24,0.90,0.07,0.89,0.01,0.32,0.01,0.31,27.45,20.60,1.95,0.00,86.07,0.00,39.33,0.05,0.06,0.18,0.19,0.06,2.42,39.33,8.13,2458.82,bowl,10279.09,2496.71,18.85,13.55,262.62,6.99,6.06,40565.83,54750.11,155687.98,42.55,389.65,382.18,161.20,536.73,1292.58,5.38,0.40,5.28,0.05,1.92,0.05,1.86,163.30,122.56,11.61,0.00,512.12,0.00,234.02,0.31,0.33,1.07,1.11,0.36,14.43,234.02,48.37,14629.96
BFP292,Fricassee of Mushroom,veg,bfp_manual,444.43,106.66,8.13,3.65,6.63,2.51,1.23,4004.75,1679.32,301.91,13.55,84.97,95.57,12.24,118.98,151.77,0.36,0.05,0.94,0.01,0.11,0.01,0.36,59.27,0.21,4.07,0.00,6.17,0.00,13.34,0.04,0.08,0.34,0.30,0.07,3.27,13.34,14.13,720.96,dish,1248.15,299.55,22.84,10.25,18.63,7.04,3.47,11246.95,4716.20,847.88,38.05,238.62,268.39,34.36,334.15,426.24,1.01,0.15,2.64,0.02,0.32,0.04,1.00,166.45,0.60,11.42,0.00,17.34,0.00,37.46,0.11,0.21,0.96,0.83,0.19,9.20,37.46,39.68,2024.74
BFP293,Cauliflower au gratin,veg,bfp_manual,607.02,145.90,9.13,4.45,10.20,3.01,1.44,6187.80,2593.28,413.39,22.15,119.69,126.89,15.99,164.96,181.30,0.57,0.05,1.48,0.00,0.14,0.01,0.53,91.28,0.29,0.68,0.00,5.18,0.00,20.68,0.05,0.10,0.28,0.41,0.07,2.07,20.68,14.91,166.25,bowl,2041.64,490.71,30.72,14.98,34.32,10.14,4.85,20812.04,8722.24,1390.39,74.50,402.56,426.77,53.78,554.83,609.79,1.93,0.16,4.96,0.01,0.48,0.04,1.77,307.00,0.98,2.29,0.00,17.41,0.00,69.55,0.17,0.34,0.94,1.37,0.23,6.96,69.55,50.15,559.18
BFP299,Beetroot and egg salad (Chukandar aur ande ka salad),egg,bfp_manual,352.91,84.92,3.40,3.36,6.45,1.97,0.55,679.53,789.69,283.46,82.25,18.13,48.27,6.48,110.12,66.99,0.55,0.04,9.27,0.00,0.06,0.01,0.35,44.49,0.35,0.19,0.19,4.43,3.28,18.49,0.02,0.05,0.09,0.39,0.06,4.72,18.49,2.70,120.04,small bowl,785.23,188.94,7.57,7.47,14.36,4.38,1.23,1511.95,1757.07,630.70,183.00,40.33,107.40,14.42,245.03,149.05,1.22,0.08,20.62,0.00,0.13,0.01,0.79,99.00,0.78,0.43,0.42,9.85,7.30,41.14,0.05,0.10,0.20,0.86,0.12,10.50,41.14,6.00,267.09
BFP303,Cucumber and yogurt salad (Kheere aur dahi ka salad),veg,bfp_manual,151.79,36.13,4.72,2.09,0.93,2.28,1.66,550.46,215.54,89.41,2.87,68.49,65.68,21.87,141.73,215.51,0.52,0.04,0.85,0.01,0.09,0.05,0.32,7.30,0.04,1.00,0.00,8.96,0.00,18.56,0.03,0.08,0.31,0.45,0.07,2.73,18.56,5.85,455.87,small plate,174.70,41.58,5.44,2.41,1.07,2.62,1.91,633.52,248.06,102.90,3.30,78.83,75.59,25.17,163.11,248.03,0.60,0.04,0.98,0.01,0.10,0.05,0.37,8.40,0.04,1.15,0.00,10.31,0.00,21.36,0.04,0.09,0.36,0.52,0.08,3.14,21.36,6.74,524.66
BFP392,Rasgulla,veg,bfp_manual,503.26,118.64,25.79,1.38,1.75,25.40,0.01,1055.04,473.13,55.61,0.09,57.09,45.07,4.68,15.19,58.99,0.12,0.04,0.53,0.00,0.01,0.00,0.19,0.18,0.09,0.03,0.00,0.01,0.00,2.98,0.02,0.06,0.04,0.17,0.02,0.77,2.98,0.79,78.92,piece,1719.89,405.44,88.13,4.73,5.98,86.80,0.05,3605.60,1616.94,190.05,0.30,195.11,154.02,16.01,51.91,201.62,0.40,0.14,1.80,0.01,0.02,0.01,0.66,0.60,0.29,0.12,0.00,0.02,0.00,10.20,0.05,0.19,0.14,0.58,0.07,2.63,10.20,2.69,269.73
